TotalTime;SegmentTime;XTran1;;;;;
21.45012;6.069418;-0.1274675;;;;;
21.47245;6.091742;-0.1284699;;;;;
21.49513;6.114423;-0.1294483;;;;;
21.51864;6.137929;-0.1301894;;;;;
21.54913;6.16842;-0.1302086;;;;;
21.5712;6.190495;-0.1295297;;;;;
21.59457;6.21386;-0.1288531;;;;;
21.6172;6.236491;-0.1282107;;;;;
21.64314;6.26243;-0.1277629;;;;;
21.66516;6.284452;-0.1276288;;;;;
21.68922;6.308513;-0.1276302;;;;;
21.71622;6.335516;-0.1272995;;;;;
21.73881;6.358105;-0.1268266;;;;;
21.76246;6.381754;-0.1264715;;;;;
21.78675;6.406038;-0.1263921;;;;;
21.80861;6.427899;-0.1261943;;;;;
21.83151;6.450804;-0.1254683;;;;;
21.86312;6.482414;-0.1251304;;;;;
21.88905;6.508338;-0.1249124;;;;;
21.90901;6.528298;-0.1246678;;;;;
21.93066;6.549954;-0.1239452;;;;;
21.95769;6.576978;-0.122663;;;;;
21.98494;6.604227;-0.1226736;;;;;
22.00691;6.626203;-0.1214435;;;;;
22.03023;6.649527;-0.1216964;;;;;
22.05249;6.671786;-0.1216992;;;;;
22.07523;6.694519;-0.1211931;;;;;
22.10032;6.719607;-0.1208211;;;;;
22.12379;6.743084;-0.1198657;;;;;
22.14951;6.768804;-0.1177861;;;;;
22.17268;6.791976;-0.1153487;;;;;
22.19743;6.816723;-0.1132225;;;;;
22.21797;6.837264;-0.1116375;;;;;
22.24107;6.860362;-0.1098186;;;;;
22.26412;6.883416;-0.1079389;;;;;
22.28693;6.906217;-0.105644;;;;;
22.31108;6.930374;-0.1032093;;;;;
22.33455;6.953839;-0.09961573;;;;;
22.36089;6.980183;-0.09657499;;;;;
22.38409;7.003378;-0.09409523;;;;;
22.40321;7.022501;-0.09160659;;;;;
22.42656;7.045856;-0.08913563;;;;;
22.45016;7.069454;-0.08781779;;;;;
22.46522;7.084513;-0.08455992;;;;;
22.49388;7.113171;-0.08128721;;;;;
22.52806;7.147349;-0.08008455;;;;;
22.5473;7.16659;-0.07572351;;;;;
22.57507;7.194367;-0.07218818;;;;;
22.60277;7.222066;-0.06923046;;;;;
22.61951;7.238805;-0.06642891;;;;;
22.63808;7.257376;-0.06339871;;;;;
22.66246;7.281752;-0.06012902;;;;;
22.68793;7.307229;-0.05650681;;;;;
22.71339;7.332689;-0.05405497;;;;;
22.73068;7.349979;-0.05083253;;;;;
22.75579;7.375083;-0.04796029;;;;;
22.78012;7.39941;-0.04496434;;;;;
22.80478;7.424071;-0.04151287;;;;;
22.82626;7.445556;-0.03782909;;;;;
22.85874;7.478031;-0.03548341;;;;;
22.8864;7.505693;-0.03296098;;;;;
22.90503;7.52432;-0.03029693;;;;;
22.93067;7.549966;-0.02771901;;;;;
22.95512;7.574413;-0.02545867;;;;;
22.98144;7.600731;-0.02405293;;;;;
